city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth
呼和浩特,2012,178.64,275.32,2475.6,96.68,0.03905315883018259,0.17968698408505568,0.07685688582938943
呼和浩特,2013,182.02,294.84,2710.39,112.81999999999996,0.04162500599544714,0.01892073443797604,0.07089931715821574
呼和浩特,2014,211.54,310.91,2894.05,99.37000000000003,0.0343359651699176,0.16217998022195346,0.05450413783747132
呼和浩特,2015,247.4,360.65,3090.52,113.24999999999997,0.03664431875541979,0.16951876713623903,0.15998198835675903
呼和浩特,2016,269.65,419.97,3173.59,150.32000000000005,0.04736591683235706,0.08993532740501209,0.1644807985581591
呼和浩特,2017,201.5,403.04,2743.72,201.54000000000002,0.07345501727581533,-0.2527350268867049,-0.0403124032669
呼和浩特,2018,204.72,356.74,2903.5,152.02,0.05235749956948511,0.015980148883374623,-0.11487693529178244
呼和浩特,2019,203.12,417.92,2791.0,214.8,0.07696166248656396,-0.007815552950371174,0.17149744912261022
呼和浩特,2020,217.1,438.57,2801.0,221.47,0.07906818993216708,0.06882630957069713,0.04941137059724343
呼和浩特,2021,228.92,420.75,3121.43,191.83,0.06145580711404709,0.05444495624136336,-0.040632054176072185
呼和浩特,2022,230.87,420.98,3329.1,190.11,0.05710552401549969,0.008518259654027638,0.000546642899584171
呼和浩特,2023,238.06,592.97,3802.0,354.91,0.09334823776959496,0.03114306752717977,0.40854672430994343
呼和浩特,2024,255.12,581.61,4107.08,326.49,0.07949443400177256,0.07166260606569774,-0.019157798876840326
呼和浩特,2025,,,,,,0.0,0.0
哈尔滨,2006,118.29,194.68,2094.08,76.39,0.036479026589242056,,
哈尔滨,2007,132.05,232.38,2436.8,100.32999999999998,0.04117284963887064,0.11632428776735138,0.193651119786316
哈尔滨,2008,164.01,301.27,2868.19,137.26,0.047855964911669026,0.24202953426732288,0.29645408382821237
哈尔滨,2009,193.36,348.41,3175.0,155.05,0.04883464566929134,0.17895250289616493,0.15647093968865144
哈尔滨,2010,238.14,452.97,3664.9,214.83000000000004,0.05861824333542526,0.23158874637980942,0.30010619672225247
哈尔滨,2011,300.32,557.14,4242.19,256.82,0.06053948550159234,0.2611069119005627,0.22997107976245657
哈尔滨,2012,354.72,643.58,4550.2,288.86,0.06348292382752407,0.18114011720831136,0.15514951358724938
哈尔滨,2013,402.28,709.78,5017.05,307.5,0.061290997697850326,0.13407758231844813,0.10286211504397258
哈尔滨,2014,423.52,740.08,5340.07,316.56000000000006,0.05928012179615624,0.05279904544098635,0.04268928400349403
哈尔滨,2015,407.73,824.84,5751.21,417.11,0.072525607654737,-0.03728277295050997,0.11452815911793324
哈尔滨,2016,376.24,876.29,6101.61,500.04999999999995,0.08195377941231904,-0.07723248227994017,0.062375733475583006
哈尔滨,2017,368.1,958.47,6355.05,590.37,0.09289777421106049,-0.021635126514990444,0.09378173892204633
哈尔滨,2018,384.37,962.17,6300.48,577.8,0.0917072984915435,0.04419994566693819,0.0038603190501527163
哈尔滨,2019,370.91,1101.14,5249.0,730.23,0.1391179272242332,-0.035018341702005795,0.14443393579097275
哈尔滨,2020,339.57,1162.25,5184.0,822.6800000000001,0.158695987654321,-0.08449489094389484,0.05549703035036413
哈尔滨,2021,365.81,992.08,5351.66,626.27,0.11702350298785798,0.0772741997231794,-0.1464142826414282
哈尔滨,2022,,,5490.1,,,0.0,0.0
哈尔滨,2023,313.07,1080.7,5576.0,767.6300000000001,0.13766678622668582,-0.14417320466909056,0.08932747359083937
哈尔滨,2024,337.84,1257.56,6016.33,919.72,0.15287060383988246,0.07911968569329542,0.16365318774868132
哈尔滨,2025,,,,,,0.0,0.0
大连,2006,196.14,266.52,2569.67,70.38,0.027388730848708197,,
大连,2007,267.98,344.57,3130.68,76.58999999999997,0.024464333627199197,0.3662689915366577,0.29284856671169157
大连,2008,339.07,410.0,3858.25,70.93,0.018383982375429278,0.26528099111874015,0.1898888469686857
大连,2009,400.23,471.16,4350.0,70.93,0.016305747126436784,0.18037573362432546,0.1491707317073172
大连,2010,500.83,611.47,5158.2,110.64000000000004,0.021449342793997916,0.25135547060440233,0.29779692673401814
大连,2011,651.13,734.94,6150.63,83.81000000000006,0.013626246417033711,0.3001018309606054,0.20192323417338542
大连,2012,750.11,890.96,7002.8,140.85000000000002,0.020113383218141316,0.1520126549229801,0.2122894385936267
大连,2013,850.16,1083.54,7650.79,233.38,0.030504039452135007,0.13338043753582807,0.21614887312561715
大连,2014,780.86,989.46,7655.58,208.60000000000002,0.0272480987723987,-0.08151406794015237,-0.08682651309596312
大连,2015,579.91,910.69,7731.64,330.7800000000001,0.04278264378579449,-0.2573444663576058,-0.07960907970003839
大连,2016,611.9,870.28,6810.2,258.38,0.03794014860062847,0.055163732303288526,-0.044372947984495315
大连,2017,657.64,919.84,7363.92,262.20000000000005,0.035606035915653624,0.07475077627063254,0.056947189410304855
大连,2018,703.99,1001.49,7668.48,297.5,0.0387951719245535,0.07047928958092586,0.08876543746738563
大连,2019,692.84,1016.28,7002.0,323.43999999999994,0.046192516423878886,-0.015838293157573236,0.014767995686427282
大连,2020,702.68,1001.98,7030.0,299.30000000000007,0.042574679943101004,0.014202413255585578,-0.014070925335537443
大连,2021,737.6,980.05,7825.95,242.44999999999993,0.03098026437684881,0.04969545169920875,-0.021886664404479172
大连,2022,669.77,991.08,8430.95,321.31000000000006,0.038110770435122975,-0.0919604121475055,0.011254527830212746
大连,2023,750.24,1013.5,8753.0,263.26,0.03007654518450817,0.12014572166564652,0.022621786334100058
大连,2024,774.77,1085.14,9516.87,310.3700000000001,0.03261261318059405,0.03269620388142447,0.07068574247656656
大连,2025,,,,,,0.0,0.0
天津,2006,417.05,543.12,3592.5,126.07,0.03509255393180236,,
天津,2007,540.44,674.33,4229.8,133.89,0.03165397891153245,0.2958638052991249,0.24158565326263082
天津,2008,675.62,867.72,5278.3,192.10000000000002,0.03639429361726314,0.2501295240914809,0.28678836771313754
天津,2009,821.99,1124.28,5828.6,302.28999999999996,0.05186322616065606,0.21664545158521054,0.2956714147420827
天津,2010,1068.81,1376.84,6991.6,308.03,0.04405715429944504,0.3002712928381124,0.22464154836873362
天津,2011,1455.13,1796.33,8240.8,341.1999999999998,0.041403747209008815,0.36144871399032596,0.3046759245809245
天津,2012,1760.02,2143.21,9193.0,383.19000000000005,0.04168280213205701,0.20952767106718984,0.1931048304042131
天津,2013,2079.07,2549.21,10075.2,470.1399999999999,0.046663093536604715,0.18127634913239632,0.18943547295878616
天津,2014,2390.35,2884.7,10749.2,494.3499999999999,0.04598946898373831,0.1497207886218357,0.1316054777754676
天津,2015,2667.11,3232.35,10889.2,565.2399999999998,0.05190831282371522,0.11578220762649827,0.12051513155614102
天津,2016,2723.5,3699.43,11487.0,975.9299999999998,0.08495951945677721,0.02114273502030284,0.14450167834547623
